AÑO,CODIGO_DEPARTAMENTO,DEPARTAMENTO,CODIGO_MUNICIPIO,MUNICIPIO,NIVEL,SECTOR,INSCRITOS,DOCENTES,RELACION_ALUMNO_DOCENTE
2009,21,Jalapa,6,Monjas,PRIMARIA DE NIÑOS,OFICIAL,4323,189,22.873015
2013,18,Izabal,1,Puerto Barrios,PRIMARIA DE NIÑOS,OFICIAL,13728,589,23.3073
1999,1,Guatemala,5,Palencia,PRIMARIA DE NIÑOS,OFICIAL,6511,0,
2008,13,Huehuetenango,32,Unión Cantinil,PRIMARIA DE NIÑOS,OFICIAL,2388,76,31.421052
1996,10,Suchitepéquez,1,Mazatenango,PRIMARIA DE NIÑOS,PRIVADO,2562,0,
2000,21,Jalapa,3,San Luis Jilotepéque,PRIMARIA DE NIÑOS,OFICIAL,3457,0,
2004,11,Retalhuleu,7,Champerico,PRIMARIA DE NIÑOS,PRIVADO,471,23,20.47826
2011,13,Huehuetenango,9,San Idelfonso Ixtahuacán,PRIMARIA DE NIÑOS,OFICIAL,8338,310,26.896774
2014,13,Huehuetenango,16,San Juan Atitán,PRIMARIA DE NIÑOS,OFICIAL,3909,126,31.023809
1995,15,Baja Verapaz,7,San Jerónimo,PRIMARIA DE NIÑOS,PRIVADO,44,0,
2000,4,Chimaltenango,3,San Martin Jilotepeque,PRIMARIA DE NIÑOS,OFICIAL,11046,0,
2004,8,Totonicapán,2,San Cristóbal Totonicapán,PRIMARIA DE NIÑOS,OFICIAL,6362,171,37.204678
2006,4,Chimaltenango,5,Santa Apolonia,PRIMARIA DE NIÑOS,OFICIAL,2249,99,22.717171
2011,14,Quiché,9,San Pedro Jocopilas,PRIMARIA DE NIÑOS,PRIVADO,23,5,4.6
2014,9,Quetzaltenango,18,San Francisco La Unión,PRIMARIA DE NIÑOS,OFICIAL,1389,64,21.703125
1997,20,Chiquimula,10,San Jacinto,PRIMARIA DE NIÑOS,MUNICIPAL,67,0,
2002,22,Jutiapa,3,Santa Catarina Mita,PRIMARIA DE NIÑOS,PRIVADO,447,0,
1992,10,Suchitepéquez,2,Cuyotenango,PRIMARIA DE NIÑOS,OFICIAL,5300,0,
2005,12,San Marcos,17,Ayutla (Tecún Umán),PRIMARIA DE NIÑOS,OFICIAL,4996,135,37.007407
2014,5,Escuintla,12,San Vicente Pacaya,PRIMARIA DE NIÑOS,MUNICIPAL,16,1,16
2013,7,Sololá,17,San Juan La Laguna,PRIMARIA DE NIÑOS,OFICIAL,1561,107,14.588785
1995,15,Baja Verapaz,2,San Miguel Chicaj,PRIMARIA DE NIÑOS,PRIVADO,90,0,
1996,10,Suchitepéquez,13,Chicacao,PRIMARIA DE NIÑOS,OFICIAL,4192,0,
2003,7,Sololá,16,San Marcos La Laguna,PRIMARIA DE NIÑOS,OFICIAL,374,12,31.166666
2011,16,Alta Verapaz,7,Panzós,PRIMARIA DE NIÑOS,PRIVADO,311,10,31.1
2009,18,Izabal,5,Los Amates,PRIMARIA DE NIÑOS,MUNICIPAL,202,9,22.444444
2009,12,San Marcos,7,Tacaná,PRIMARIA DE NIÑOS,MUNICIPAL,57,1,57
2012,7,Sololá,10,Panajachel,PRIMARIA DE NIÑOS,PRIVADO,558,57,9.789473
1996,12,San Marcos,17,Ayutla (Tecún Umán),PRIMARIA DE NIÑOS,OFICIAL,3485,0,
2002,16,Alta Verapaz,5,Tamahú,PRIMARIA DE NIÑOS,PRIVADO,25,0,
2010,18,Izabal,1,Puerto Barrios,PRIMARIA DE NIÑOS,OFICIAL,15219,570,26.7
2005,13,Huehuetenango,5,Nentón,PRIMARIA DE NIÑOS,PRIVADO,125,6,20.833333
2008,2,El Progreso,6,Sansare,PRIMARIA DE NIÑOS,PRIVADO,56,8,7
1995,8,Totonicapán,4,San Andrés Xecul,PRIMARIA DE NIÑOS,OFICIAL,2462,0,
